編號,公布日期,證券代號,證券名稱,處置起訖時間,處置原因,處置內容,收盤價,本益比
"41","114/07/16","4991","環宇-KY","114/07/17~114/08/01","連續5個營業日及沖銷標準","環宇通訊半導體控股股份有限公司股票(代號：4991)因連續5個營業日經本中心公布注意交易資訊，且最近5個營業日曾達本中心作業要點第四條第一項第十三款經本中心公布注意交易資訊，爰自114年07月17日起12個營業日(114年07月17日至114年08月01日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","162.00","N/A"
"42","114/07/15","5314","世紀*","114/07/16~114/07/31","連續3個營業日及沖銷標準","世紀民生科技股份有限公司股票(代號：5314)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，且最近3個營業日曾達本中心作業要點第四條第一項第十三款經本中心公布注意交易資訊，爰自114年07月16日起12個營業日(114年07月16日至114年07月31日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","68.70","48.04"
"43","114/07/11","3081","聯亞","114/07/14~114/07/25","最近10個營業日內有6個營業日","聯亞光電工業股份有限公司股票(代號：3081)最近30個營業日內曾發布處置，又因最近10個營業日內有6個營業日經本中心公布注意交易資訊，爰自114年07月14日起10個營業日(114年07月14日至114年07月25日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","345.00","1,150.00"
"44","114/07/11","5245","智晶","114/07/14~114/07/25","因連續3個營業日達本中心作業要點第四條第一項第一款","智晶光電股份有限公司股票(代號：5245)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年07月14日起10個營業日(114年07月14日至114年07月25日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","33.50","N/A"
"45","114/07/11","52451","智晶一","114/07/14~114/07/25","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","智晶光電股份有限公司股票(代號：5245)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年07月14日起10個營業日(114年07月14日至114年07月25日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對智晶光電股份有限公司國內第一次有擔保轉換公司債（代號：52451）改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","99.75","N/A"
"46","114/07/11","52452","智晶二","114/07/14~114/07/25","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","智晶光電股份有限公司股票(代號：5245)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年07月14日起10個營業日(114年07月14日至114年07月25日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對智晶光電股份有限公司國內第二次無擔保轉換公司債（代號：52452）改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","95.50","N/A"
"47","114/07/10","3629","地心引力","114/07/11~114/07/24","因連續3個營業日達本中心作業要點第四條第一項第一款","地心引力股份有限公司股票(代號：3629)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年07月11日起10個營業日(114年07月11日至114年07月24日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每60分鐘撮合一次)，另依本中心業務規則第12條規定：各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","35.85","N/A"
"48","114/07/07","3629","地心引力","114/07/08~114/07/21","因連續3個營業日達本中心作業要點第四條第一項第一款","地心引力股份有限公司股票(代號：3629)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年07月08日起10個營業日(114年07月08日至114年07月21日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每45分鐘撮合一次)，另依本中心業務規則第12條規定：各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","27.00","N/A"
"49","114/07/04","3577","泓格","114/07/07~114/07/18","因連續3個營業日達本中心作業要點第四條第一項第一款","泓格科技股份有限公司股票(代號：3577)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年07月07日起10個營業日(114年07月07日至114年07月18日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","84.80","37.69"
"50","114/07/04","8227","巨有科技","114/07/07~114/07/22","連續5個營業日及沖銷標準","巨有科技股份有限公司股票(代號：8227)因連續5個營業日經本中心公布注意交易資訊，且最近5個營業日曾達本中心作業要點第四條第一項第十三款經本中心公布注意交易資訊，爰自114年07月07日起12個營業日(114年07月07日至114年07月22日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","171.50","123.38"
"51","114/07/01","3122","笙泉","114/07/02~114/07/15","因連續3個營業日達本中心作業要點第四條第一項第一款","笙泉科技股份有限公司股票(代號：3122)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年07月02日起10個營業日(114年07月02日至114年07月15日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","27.15","N/A"
